Time_s,Current_A,Temperature_K,State_x
1.964414280906627563e-01,1.778047590050846338e-04,3.000006913415960526e+02,2.015483677387237549e-01
2.033624084686672384e-01,1.778190344339236617e-04,3.000007154767608313e+02,2.016026079654693604e-01
2.105272272765706942e-01,1.778301957529038191e-04,3.000007404465573018e+02,2.016587406396865845e-01
2.179444753752985686e-01,1.778666483005508780e-04,3.000007662829709147e+02,2.017168253660202026e-01
2.256230462970633954e-01,1.778569276211783290e-04,3.000007930083157817e+02,2.017769366502761841e-01
2.335721469090121238e-01,1.778771693352609873e-04,3.000008206572157974e+02,2.018391340970993042e-01
2.418013084525720557e-01,1.778994919732213020e-04,3.000008492611568727e+02,2.019035071134567261e-01
2.503203979717325556e-01,1.778928126441314816e-04,3.000008788473596155e+02,2.019701153039932251e-01
2.591396301439658489e-01,1.778669247869402170e-04,3.000009094452778413e+02,2.020390331745147705e-01
2.682695795279724793e-01,1.779213635018095374e-04,3.000009411032197590e+02,2.021103352308273315e-01
2.777211932429354824e-01,1.779296871973201632e-04,3.000009738481787736e+02,2.021841257810592651e-01
2.875058040944880045e-01,1.779335143510252237e-04,3.000010077155101271e+02,2.022604644298553467e-01
2.976351441631317485e-01,1.779262820491567254e-04,3.000010427402771711e+02,2.023394554853439331e-01
3.081213588714002416e-01,1.779631129465997219e-04,3.000010789700255600e+02,2.024211883544921875e-01
3.189770215466321557e-01,1.779892190825194120e-04,3.000011164425505399e+02,2.025057375431060791e-01
3.302151484968175454e-01,1.780155871529132128e-04,3.000011551991135548e+02,2.025932222604751587e-01
3.418492146175928781e-01,1.780219899956136942e-04,3.000011952775392956e+02,2.026837319135665894e-01
3.538931695490987739e-01,1.780323509592562914e-04,3.000012367222246326e+02,2.027773708105087280e-01
3.663614544020716290e-01,1.780397287802770734e-04,3.000012795772452137e+02,2.028742432594299316e-01
3.792690190732249667e-01,1.781013270374387503e-04,3.000013239027105669e+02,2.029744535684585571e-01
3.926313401706837403e-01,1.781120809027925134e-04,3.000013697334856033e+02,2.030781209468841553e-01
4.064644395709627878e-01,1.781252503860741854e-04,3.000014171192055414e+02,2.031853646039962769e-01
4.207849036297402479e-01,1.781770552042871714e-04,3.000014661213873524e+02,2.032962888479232788e-01
4.356099030694607910e-01,1.781302416929975152e-04,3.000015167634771274e+02,2.034110426902770996e-01
4.509572135676147009e-01,1.781742466846480966e-04,3.000015691255628667e+02,2.035297304391860962e-01
4.668452370703789489e-01,1.782183971954509616e-04,3.000016232632941637e+02,2.036525011062622070e-01
4.832930238571752080e-01,1.782335893949493766e-04,3.000016792243468444e+02,2.037794739007949829e-01
5.003202953826004773e-01,1.782820763764902949e-04,3.000017370782323951e+02,2.039108127355575562e-01
5.179474679231209633e-01,1.782870531314983964e-04,3.000017968701875475e+02,2.040466368198394775e-01
5.361956770568816477e-01,1.782895851647481322e-04,3.000018586605339692e+02,2.041871100664138794e-01
5.550868030059805669e-01,1.782963227014988661e-04,3.000019225136807108e+02,2.043323814868927002e-01
5.746434968715973257e-01,1.783666666597127914e-04,3.000019885191254616e+02,2.044826149940490723e-01
5.948892077934334610e-01,1.783682091627269983e-04,3.000020567170511185e+02,2.046379745006561279e-01
6.158482110660260522e-01,1.784182677511125803e-04,3.000021271957583053e+02,2.047986239194869995e-01
6.375456372456506093e-01,1.784729684004560113e-04,3.000022000283721582e+02,2.049647420644760132e-01
6.600075022827095461e-01,1.785261265467852354e-04,3.000022752872933438e+02,2.051364928483963013e-01
6.832607387157402234e-01,1.785562344593927264e-04,3.000023530367207627e+02,2.053140848875045776e-01
7.073332279644438669e-01,1.785586500773206353e-04,3.000024333393993174e+02,2.054976969957351685e-01
7.322538337604533876e-01,1.786110660759732127e-04,3.000025162972895032e+02,2.056875079870223999e-01
7.580524367559261512e-01,1.786539651220664382e-04,3.000026019860484325e+02,2.058837413787841797e-01
7.847599703514610558e-01,1.786962384358048439e-04,3.000026904875012974e+02,2.060865908861160278e-01
8.124084577862965562e-01,1.787275832612067461e-04,3.000027818796571069e+02,2.062962800264358521e-01
8.410310505352605048e-01,1.787794608389958739e-04,3.000028762598302592e+02,2.065130174160003662e-01
8.706620680585126504e-01,1.787857618182897568e-04,3.000029736892605570e+02,2.067370265722274780e-01
9.013370389517434411e-01,1.788355439202859998e-04,3.000030742829794690e+02,2.069685459136962891e-01
9.330927435461663366e-01,1.789120869943872094e-04,3.000031781499649242e+02,2.072078138589859009e-01
9.659672580093832117e-01,1.789254311006516218e-04,3.000032853436846949e+02,2.074550688266754150e-01
1.000000000000000000e+00,1.790446694940328598e-04,3.000033960303801450e+02,2.077105641365051270e-01
1.035231775930737674e+00,1.790085079846903682e-04,3.000035102013148389e+02,2.079745531082153320e-01
1.071704829896710454e+00,1.791143295122310519e-04,3.000036280554707560e+02,2.082473039627075195e-01
1.109462894327521765e+00,1.791892718756571412e-04,3.000037496734369711e+02,2.085290849208831787e-01
1.148551242423938135e+00,1.791838149074465036e-04,3.000038750965695158e+02,2.088201791048049927e-01
1.189016742441989960e+00,1.792923867469653487e-04,3.000040045189190892e+02,2.091208696365356445e-01
1.230907913889601746e+00,1.793360133888199925e-04,3.000041379954338936e+02,2.094314545392990112e-01
1.274274985703133467e+00,1.794022391550242901e-04,3.000042756531551618e+02,2.097522318363189697e-01
1.319169956473571714e+00,1.794589479686692357e-04,3.000044175937072737e+02,2.100834995508193970e-01
1.365646656794609726e+00,1.795223361114040017e-04,3.000045639343057360e+02,2.104255855083465576e-01
1.413760813807359851e+00,1.795743592083454132e-04,3.000047147766988473e+02,2.107788026332855225e-01
1.463570118019079880e+00,1.796566211851313710e-04,3.000048702641500995e+02,2.111434638500213623e-01
1.515134292476052913e+00,1.797310833353549242e-04,3.000050305047337815e+02,2.115199267864227295e-01
1.568515164373547766e+00,1.798018929548561573e-04,3.000051956110971787e+02,2.119085341691970825e-01
1.623776739188721008e+00,1.798484445316717029e-04,3.000053656734975220e+02,2.123096287250518799e-01
1.680985277425363744e+00,1.800004101824015379e-04,3.000055409284707366e+02,2.127235680818557739e-01
1.740209374062484882e+00,1.800890022423118353e-04,3.000057214249918616e+02,2.131507247686386108e-01
1.801520040802023770e+00,1.801482285372912884e-04,3.000059072467138321e+02,2.135914564132690430e-01
1.864990791214296229e+00,1.802318729460239410e-04,3.000060985420201405e+02,2.140461653470993042e-01
1.930697728883249642e+00,1.803305931389331818e-04,3.000062954497889791e+02,2.145152091979980469e-01
1.998719638657250552e+00,1.804226485546678305e-04,3.000064980807996449e+02,2.149990051984786987e-01
2.069138081114790140e+00,1.805450447136536241e-04,3.000067065963435766e+02,2.154979258775711060e-01
2.142037490358382978e+00,1.806016371119767427e-04,3.000069210207055335e+02,2.160124033689498901e-01
2.217505275253931707e+00,1.807220396585762501e-04,3.000071415631356331e+02,2.165428251028060913e-01
2.295631924236909427e+00,1.808636152418330312e-04,3.000073683738596628e+02,2.170896232128143311e-01
2.376511113811072828e+00,1.809585810406133533e-04,3.000076014947166527e+02,2.176532149314880371e-01
2.460239820869774885e+00,1.810557587305083871e-04,3.000078410396758954e+02,2.182340174913406372e-01
2.546918438974540067e+00,1.811726688174530864e-04,3.000080871505589357e+02,2.188324779272079468e-01
2.636650898730358072e+00,1.813354610931128263e-04,3.000083400161070131e+02,2.194490134716033936e-01
2.729544792402007314e+00,1.814020797610282898e-04,3.000085995653602708e+02,2.200840711593627930e-01
2.825711502920826845e+00,1.815629511838778853e-04,3.000088660724043734e+02,2.207380831241607666e-01
2.925266337436644548e+00,1.816839503590017557e-04,3.000091395566795427e+02,2.214114964008331299e-01
3.028328665574945511e+00,1.818315795389935374e-04,3.000094201619988894e+02,2.221047580242156982e-01
3.135022062565112400e+00,1.819829922169446945e-04,3.000097079827631887e+02,2.228183001279830933e-01
3.245474457411329006e+00,1.820727047743275762e-04,3.000100029630942231e+02,2.235525846481323242e-01
3.359818286283780875e+00,1.822991616791114211e-04,3.000103054810671210e+02,2.243080586194992065e-01
3.478190651314130299e+00,1.824448263505473733e-04,3.000106154211621288e+02,2.250851392745971680e-01
