Time_s,Current_A,Temperature_K,State_x
1.000000000000000021e-02,1.084571849787607789e-04,3.000000108457185206e+02,1.999838501214981079e-01
1.035231775930738757e-02,1.084746472770348191e-04,3.000000112275118340e+02,1.999832838773727417e-01
1.071704829896710960e-02,1.084772302419878542e-04,3.000000116227519129e+02,1.999826878309249878e-01
1.109462894327521883e-02,1.084758259821683168e-04,3.000000120318968015e+02,1.999820768833160400e-01
1.148551242423937954e-02,1.084609102690592408e-04,3.000000124553822616e+02,1.999814510345458984e-01
1.189016742441989863e-02,1.084690884454175830e-04,3.000000128938038415e+02,1.999807953834533691e-01
1.230907913889602370e-02,1.084704781533218920e-04,3.000000133476592623e+02,1.999801248311996460e-01
1.274274985703133418e-02,1.084597752196714282e-04,3.000000138174386848e+02,1.999794244766235352e-01
1.319169956473571596e-02,1.084786636056378484e-04,3.000000143038329838e+02,1.999786943197250366e-01
1.365646656794611107e-02,1.084814939531497657e-04,3.000000148073543755e+02,1.999779492616653442e-01
1.413760813807360579e-02,1.084657560568302870e-04,3.000000153285157580e+02,1.999771744012832642e-01
1.463570118019079727e-02,1.084723626263439655e-04,3.000000158680455229e+02,1.999763697385787964e-01
1.515134292476053024e-02,1.084637551684863865e-04,3.000000164265117064e+02,1.999755352735519409e-01
1.568515164373547946e-02,1.084520336007699370e-04,3.000000170045612435e+02,1.999746710062026978e-01
1.623776739188721729e-02,1.084811665350571275e-04,3.000000176031055616e+02,1.999737769365310669e-01
1.680985277425363703e-02,1.084767500287853181e-04,3.000000182226781362e+02,1.999728530645370483e-01
1.740209374062485007e-02,1.084645191440358758e-04,3.000000188639702401e+02,1.999718993902206421e-01
1.801520040802025505e-02,1.084713221644051373e-04,3.000000195278585693e+02,1.999709159135818481e-01
1.864990791214297255e-02,1.084654140868224204e-04,3.000000202150572477e+02,1.999698877334594727e-01
1.930697728883249559e-02,1.084626856027171016e-04,3.000000209264040905e+02,1.999688297510147095e-01
1.998719638657250539e-02,1.084774194168858230e-04,3.000000216628647536e+02,1.999677270650863647e-01
2.069138081114790112e-02,1.084470713976770639e-04,3.000000224250066481e+02,1.999665945768356323e-01
2.142037490358384214e-02,1.084591494873166084e-04,3.000000232140326943e+02,1.999654173851013184e-01
2.217505275253931624e-02,1.084598407032899559e-04,3.000000240308031607e+02,1.999641954898834229e-01
2.295631924236909635e-02,1.084727991838008165e-04,3.000000248763873287e+02,1.999629288911819458e-01
2.376511113811075396e-02,1.084732575691305101e-04,3.000000257516982742e+02,1.999616175889968872e-01
2.460239820869776495e-02,1.084529503714293242e-04,3.000000266576046215e+02,1.999602615833282471e-01
