time_s,current_A,level
0.01,-3.10987452394329e-05,2
0.010472494122981487,-3.108616510871798e-05,2
0.010967313315588178,-3.1043477065395564e-05,2
0.01148551242423938,-3.1047915399540216e-05,2
0.012028196136227775,-3.1065654184203595e-05,2
0.012596521334671401,-3.105451469309628e-05,2
0.013191699564735716,-3.1049181416165084e-05,2
0.013814999616383224,-3.10508839902468e-05,2
0.01446775022915648,-3.106256190221757e-05,2
0.01515134292476053,-3.106563235633075e-05,2
0.015867234973483177,-3.111088881269097e-05,2
0.01661695250077689,-3.107521479250863e-05,2
0.01740209374062485,-3.1050381949171424e-05,2
0.018224332442626664,-3.101386391790584e-05,2
0.01908542144006686,-3.1069830583874136e-05,2
0.019987196386572505,-3.1027288059704006e-05,2
0.02093157966932574,-3.105561336269602e-05,2
0.021920584507173258,-3.1059687898959965e-05,2
0.022956319242369096,-3.0963456083554775e-05,2
0.02404099183509972,-3.104256029473618e-05,2
0.02517691457037277,-3.102380287600681e-05,2
0.026366508987303583,-3.102089976891875e-05,2
0.02761231104130753,-3.102346818195656e-05,2
0.028916976510202995,-3.102960909018293e-05,2
0.030283286655749458,-3.104046481894329e-05,2
0.03171415415268999,-3.106728399870917e-05,2
0.03321262929793748,-3.105672658421099e-05,2
0.0347819065131413,-3.1042574846651405e-05,2
0.03642533115449638,-3.1023024348542094e-05,2
0.03814640664431178,-3.101518814219162e-05,2
0.0399488019395417,-3.102252958342433e-05,2
0.041836359353200195,-3.102696064161137e-05,2
0.04381310274533306,-3.097419539699331e-05,2
0.04588324610100845,-3.098029992543161e-05,2
0.04805120251361242,-3.1000432500150055e-05,2
0.05032159359259993,-3.10440591420047e-05,2
0.052699259315756565,-3.101004404015839e-05,2
0.0551892683469738,-3.103391645709053e-05,2
0.05779692884153313,-3.098732850048691e-05,2
0.06052779976193349,-3.095675492659211e-05,2
0.06338770272838487,-3.095765714533627e-05,2
0.06638273442923082,-3.097600711043924e-05,2
0.06951927961775606,-3.09860915876925e-05,2
0.0728040247230857,-3.0992763640824705e-05,2
0.07624397210419138,-3.099148307228461e-05,2
0.07984645497739086,-3.101066977251321e-05,2
0.08361915304916318,-3.099683817708865e-05,2
0.08757010888760508,-3.1011200917419046e-05,2
0.0917077450674293,-3.096864384133369e-05,2
0.0960408821250538,-3.099264722550288e-05,2
0.10057875736205836,-3.097426088061184e-05,2
0.1053310445370937,-3.0922499718144536e-05,2
0.1103078744882215,-3.095310239586979e-05,2
0.11551985672964793,-3.096694126725197e-05,2
0.12097810206889013,-3.099223249591887e-05,2
0.12669424629259063,-3.100909816566855e-05,2
0.13268047497147245,-3.097071748925373e-05,2
0.13894954943731375,-3.092311817454174e-05,2
0.14551483398731938,-3.0907263862900436e-05,2
0.1523903243738829,-3.0942479497753084e-05,2
0.1595906776404731,-3.0974486435297877e-05,2
0.16713124336724874,-3.090974496444687e-05,2
0.17502809639301012,-3.0943905585445464e-05,2
0.18329807108324356,-3.0926690669730306e-05,2
0.1919587972173111,-3.0907816835679114e-05,2
0.20102873757128856,-3.09414608636871e-05,2
0.2105272272765707,-3.0934585083741695e-05,2
0.22047451503814744,-3.092890983680263e-05,2
0.23089180630041925,-3.0982642783783376e-05,2
0.24180130845257206,-3.093706618528813e-05,2
0.25322627816987947,-3.089348319917917e-05,2
0.2651910709918538,-3.096094587817788e-05,2
0.2777211932429355,-3.08964226860553e-05,2
0.2908433564064048,-3.084742638748139e-05,2
0.3045855340674284,-3.091850521741435e-05,2
0.31897702154663216,-3.0858231184538454e-05,2
0.33404849835132444,-3.0925053579267114e-05,2
0.3498320935775036,-3.0934847018215805e-05,2
0.36636145440207163,-3.08752860291861e-05,2
0.38367181781126447,-3.092233237111941e-05,2
0.40180008571820913,-3.0925213650334626e-05,2
0.42078490362974025,-3.089752863161266e-05,2
0.4406667430301786,-3.086895594606176e-05,2
0.4614879876576939,-3.0891140340827405e-05,2
0.4832930238571752,-3.0884548323228955e-05,2
0.5061283352022219,-3.089352685492486e-05,2
0.5300426015879672,-3.089358506258577e-05,2
0.5550868030059806,-3.08568705804646e-05,2
0.5813143282224713,-3.0860166589263827e-05,2
0.6087810885914762,-3.089509846176952e-05,2
0.6375456372456506,-3.087281947955489e-05,2
0.6676692939187563,-3.089038364123553e-05,2
0.6992162756659375,-3.087182267336175e-05,2
0.7322538337604534,-3.0899653211236e-05,2
0.766852397058701,-3.092838596785441e-05,2
0.8030857221391512,-3.086426295340061e-05,2
0.8410310505352605,-3.089116216870025e-05,2
0.8807692733975462,-3.0889663321431726e-05,2
0.9223851039358476,-3.089317760895938e-05,2
0.9659672580093832,-3.0843730201013386e-05,2
1.0116086432495808,-3.082862531300634e-05,2
1.059406557118851,-3.085418575210497e-05,2
1.1094628943275218,-3.087022196268663e-05,2
1.1618843640511003,-3.086853394052014e-05,2
1.216782717410923,-3.080348687944934e-05,2
1.2742749857031335,-3.08765156660229e-05,2
1.3344837298838383,-3.080265014432371e-05,2
1.3975373018422912,-3.0898809200152755e-05,2
1.4635701180190799,-3.082872717641294e-05,2
1.5327229459526135,-3.085730713792145e-05,2
1.6051432043647615,-3.0828872695565224e-05,2
1.6809852774253637,-3.085479693254456e-05,2
1.7604108438655526,-3.084479976678267e-05,2
1.843589221641488,-3.0808958399575204e-05,2
1.9306977288832496,-3.0833238270133734e-05,2
2.0219220618983536,-3.0869727197568864e-05,2
2.117456691035712,-3.0789531592745334e-05,2
2.2175052752539317,-3.081481554545462e-05,2
2.3222810962777247,-3.078929876210168e-05,2
2.4320075132679473,-3.0814509955234826e-05,2
2.54691843897454,-3.0819865060038865e-05,2
2.667258838387405,-3.08263988699764e-05,2
2.793285250948253,-3.082915645791218e-05,2
2.9252663374366445,-3.0788745789323e-05,2
3.063483452696084,-3.08333765133284e-05,2
3.2082312454210773,-3.082412149524316e-05,2
3.359818286283781,-3.0814786441624165e-05,2
