Bias_V,Tmax_K,Lifetime_s,Lifetime_h,Lifetime_years
0.05,618.3181563085951,0.0005258492920771161,1.460692477991989e-07,1.667457166657522e-11
0.1,619.0676472467583,0.0005213384723013406,1.4481624230592794e-07,1.6531534509809125e-11
0.2,631.9309190252625,0.00045111635620058297,1.253100989446064e-07,1.4304805815594337e-11
