Cycle,I_on(A),I_off(A),R_on(Ohm),R_off(Ohm),R_window
111,0.0028115969616919756,0.0001410857803421095,711.3395079517696,14175.772930302122,19.928280057324287
112,0.0027732986491173506,0.00010634817590471357,721.1628649930548,18806.15219000859,26.07753824122614
113,0.002779876347631216,9.688934369478375e-05,719.4564610705726,20642.104725760153,28.691249356554653
114,0.0028715983498841524,0.00011754859588108957,696.4762322642401,17014.23966823841,24.429031286430575
115,0.002776434877887368,0.00012876171967945993,720.3482477505406,15532.566584589298,21.562579812047083
116,0.002759387483820319,0.00013483312795870006,724.7985326461798,14833.149801133875,20.46520396085691
117,0.0028763669542968273,9.42103797569871e-05,695.3215744315938,21229.08307906048,30.531316529930297
118,0.0027198444586247206,0.00013148289872333407,735.3361670821266,15211.103529115908,20.685917829221967
119,0.002685899380594492,0.0001287114864680916,744.6295321802763,15538.628597512034,20.867596470442027
120,0.002602153457701206,0.00013101965305395424,768.5941785302107,15264.885367323552,19.860787127629205
121,0.0028715338557958603,0.0001209727197419852,696.4918749840747,16532.652880194943,23.737036244066683
122,0.0028407080098986626,0.0001229407498613,704.0498327623953,16267.99890181549,23.106317400838954
123,0.002895323559641838,0.00011399234062992036,690.76908266399,17545.038301722598,25.399281383670452
124,0.002758170710876584,8.14839149825275e-05,725.1182790782572,24544.72119907514,33.84926557123268
125,0.0027590568643063307,0.00013279187260195613,724.8853857087666,15061.162597908691,20.77730203262745
126,0.002789351623505354,0.00011763868678826839,717.0125065729809,17001.209700670017,23.711175948560047
127,0.002840578556060791,0.00012937316205352545,704.0819184629219,15459.15669676053,21.956474511530345
128,0.002821369096636772,0.0001057941117323935,708.8757021104523,18904.643636068915,26.66848867832025
129,0.002727244049310684,0.00011500380060169846,733.3410443308741,17390.729455420566,23.71438171892925
130,0.0027147047221660614,8.517855894751847e-05,736.7283752567656,23480.08702227733,31.870751569863202
131,0.00271985842846334,0.00012350142060313374,735.3323902209953,16194.14557369963,22.022891673291685
132,0.0026949793100357056,0.00012215627066325396,742.1207249384714,16372.470874957324,22.061735139272322
133,0.0027577937580645084,0.0001073431340046227,725.2173928620517,18631.838914653188,25.691384539362904
134,0.002717894734814763,0.00012036587577313185,735.863671850575,16616.004914496178,22.580276143690696
135,0.0026658920105546713,0.0001287204067921266,750.2179350594391,15537.55177057739,20.7107175721497
136,0.002924006897956133,0.00010412855044705793,683.9929142143945,19207.027968855014,28.08074114468773
137,0.0026997155509889126,0.00013548257993534207,740.818786826107,14762.045321195079,19.926661666397756
138,0.002685059327632189,0.00011859924416057765,744.862498445735,16863.51373731002,22.639767436940666
139,0.002744597615674138,0.00012824387522414327,728.704269015423,15595.286565608962,21.40139316966028
140,0.0026610037311911583,9.941481403075159e-05,751.5960897781733,20117.725908169203,26.7666718624185
141,0.0027651959098875523,0.00012361926201265305,723.2760587144274,16178.708327967383,22.3686490559689
142,0.0027210847474634647,0.00012582587078213692,735.0009958820117,15894.982261382062,21.625796904272022
143,0.0025540937203913927,0.00011743434879463166,783.0566213171147,17030.7921276661,21.74911962179697
144,0.0026639685966074467,0.00013210406177677214,750.759600468351,15139.57979762951,20.16568258092856
145,0.0026877811178565025,0.00010937215847661719,744.1082110327815,18286.18918718143,24.574637016572094
146,0.002652475843206048,0.00013779246364720166,754.0125216856216,14514.581803299045,19.249788811001686
147,0.0027614894788712263,0.00010944719542749226,724.246829320988,18273.65218372662,25.23124913209346
148,0.002660527126863599,0.00011198456195415929,751.7307299948482,17859.60446011382,23.757981079523272
149,0.002698506461456418,0.00011574229574762285,741.150717193178,17279.767692540427,23.314782394032985
150,0.0026370533742010593,0.00010862264025490731,758.422267371631,18412.367595688942,24.27719805682707
151,0.0027858675457537174,0.0001113141915993765,717.9092208926214,17967.160820166635,25.027065118103568
152,0.0027433016803115606,0.00016579988005105406,729.0485088186906,12062.734830214677,16.545860370471722
153,0.0027223664801567793,0.00012041820446029305,734.6549459241676,16608.784297649116,22.607598832341495
154,0.002694561379030347,0.00012833750224672258,742.2358291120003,15583.90921907759,20.995899965812676
155,0.0027044713497161865,0.00011484918650239706,739.5160608635653,17414.141479740614,23.548023364638436
156,0.0026825550012290478,0.00012633389269467443,745.5578723784288,15831.064344724693,21.233850424275573
157,0.0027720245998352766,0.00013473779836203903,721.4943184116594,14843.644541247266,20.57347391719584
158,0.002757004229351878,0.00011834155884571373,725.425074790233,16900.233549460343,23.29700769489845
159,0.0026419309433549643,0.00012445518223103136,757.0220577768758,16070.041826119177,21.227970388751405
160,0.0026323532219976187,0.00011197617277503014,759.7764549707656,17860.94248958867,23.508154764121922
161,0.002707344014197588,0.0001281992153963074,738.731387209407,15600.71938206954,21.11825712591149
162,0.002616336802020669,0.00011732010170817375,764.4275758728453,17047.376824881172,22.300839690949125
163,0.0027397307567298412,0.0001226883177878335,729.99873960506,16301.4704232652,22.33081995742148
164,0.0027037637773901224,0.00012624806549865752,739.7095914905857,15841.82677380859,21.41627870727726
165,0.0026798839680850506,0.00012514441914390773,746.3009679045275,15981.53555468261,21.414330467178342
166,0.0026911699678748846,0.00014072230260353535,743.1711943620393,14212.388148752238,19.12397608595767
167,0.002710122847929597,0.00012463422899600118,737.9739264550054,16046.955961168684,21.744611003065124
168,0.002689932007342577,0.0001260589633602649,743.5132166155813,15865.591234624017,21.338680846647282
169,0.002684985753148794,0.00013553108146879822,744.8829093076691,14756.762534235919,19.81084859089005
170,0.002736048074439168,0.00014353137521538883,730.981307658118,13934.235515158172,19.062369131982308
171,0.0025977042969316244,0.00011893706687260419,769.9105712657381,16815.615482821882,21.840998306045986
172,0.002747750375419855,0.00011852789612021297,727.8681561335544,16873.66475397405,23.182309339657323
173,0.002640455961227417,0.00014045504212845117,757.444937014914,14239.431745935448,18.799296226142808
174,0.0026413786690682173,0.00012256157060619444,757.180340200274,16318.32860650848,21.551442556197756
175,0.0027543334290385246,0.00011435844498919323,726.1284992543644,17488.870041037444,24.08508970381433
176,0.002556026680395007,9.528121881885454e-05,782.4644455231025,20990.49533373243,26.82613306435874
177,0.002621497493237257,0.00013401922478806227,762.9227204666522,14923.23200824034,19.56060765776164
178,0.00273310299962759,0.00012355520448181778,731.768981827889,16187.09622310747,22.120500629411282
179,0.0026181896682828665,0.00012017370318062603,763.8865982340419,16642.575958164005,21.7867102219602
180,0.002689465181902051,0.00010997417848557234,743.6422723427534,18186.0870374794,24.455423950263576
181,0.00255284714512527,9.60874167503789e-05,783.4389940015071,20814.379726549716,26.56796494164506
182,0.002690588589757681,0.00012830152991227806,743.3317776155409,15588.278532447397,20.970822184477925
183,0.0025811409577727318,0.00013564738037530333,774.8511344188464,14744.110647196987,19.028313946078637
184,0.0026354738511145115,0.00013184145791456103,758.8768138964256,15169.735047426064,19.98972003049824
185,0.0025795779656618834,0.0001128447984228842,775.3206244772321,17723.457440914313,22.859520153826086
186,0.0026450345758348703,0.00012884069292340428,756.1337827172231,15523.045856839291,20.529496514566603
187,0.0026648377534002066,0.00010559669317444786,750.514734601602,18939.986858830634,25.235996024627827
188,0.0025524222292006016,0.00013165464042685926,783.5694174481526,15191.260849782499,19.387255948880465
189,0.0026726643554866314,0.00011458621884230524,748.3169351759205,17454.10576204033,23.32448317227656
190,0.0026266395580023527,0.00010855862637981772,761.4291778806673,18423.224835024237,24.195585578034628
191,0.0025454603601247072,0.00014277597074396908,785.7124905753014,14007.959291542913,17.828352558435512
192,0.0025562497321516275,0.0001228551409440115,782.3961696943353,16279.334900866057,20.807022748112416
193,0.0025579570792615414,0.000130759333842434,781.8739475470431,15295.275112939475,19.562328634845837
194,0.0025449173990637064,0.00013253661745693535,785.8801232409093,15090.169217270719,19.201617105468987
195,0.0025408503133803606,0.00012005239841528237,787.1380650330603,16659.392146604652,21.16451088654307
196,0.002646433189511299,0.0001311168889515102,755.7341735173726,15253.564973510602,20.18377030975953
197,0.002583319554105401,0.00013226141163613647,774.1976775762837,15121.568416195487,19.531921696711006
198,0.002625316148623824,0.00012390002666506916,761.8130107059966,16142.046436070774,21.188987598297146
199,0.002687634201720357,0.00013891492562834173,744.1488867702492,14397.30091317599,19.34733918055441
200,0.002610215451568365,0.00011932408961001784,766.2202742812156,16761.07473164426,21.87500813309551
