time_s,I_level1_A,I_level2_A,I_level3_A
0.01,3.6647095839720976e-05,-1.3865206710759585e-05,-0.00018062966410068278
0.010472494122981487,3.6647095839720745e-05,-1.3865206710759499e-05,-0.00018062966410068164
0.010967313315588178,3.664709583972051e-05,-1.3865206710759409e-05,-0.00018062966410068048
0.01148551242423938,3.664709583972026e-05,-1.3865206710759314e-05,-0.00018062966410067923
0.012028196136227775,3.664709583972e-05,-1.3865206710759214e-05,-0.00018062966410067793
0.012596521334671401,3.664709583971972e-05,-1.386520671075911e-05,-0.00018062966410067657
0.013191699564735716,3.664709583971944e-05,-1.3865206710759002e-05,-0.00018062966410067516
0.013814999616383224,3.664709583971913e-05,-1.3865206710758889e-05,-0.0001806296641006737
0.01446775022915648,3.6647095839718814e-05,-1.3865206710758769e-05,-0.00018062966410067213
0.01515134292476053,3.664709583971849e-05,-1.3865206710758643e-05,-0.0001806296641006705
0.015867234973483177,3.664709583971814e-05,-1.3865206710758513e-05,-0.0001806296641006688
0.01661695250077689,3.664709583971778e-05,-1.3865206710758376e-05,-0.000180629664100667
0.01740209374062485,3.6647095839717405e-05,-1.3865206710758233e-05,-0.00018062966410066513
0.018224332442626664,3.6647095839717005e-05,-1.3865206710758082e-05,-0.00018062966410066318
0.01908542144006686,3.6647095839716585e-05,-1.3865206710757925e-05,-0.00018062966410066112
0.019987196386572505,3.664709583971615e-05,-1.386520671075776e-05,-0.00018062966410065898
0.02093157966932574,3.664709583971569e-05,-1.3865206710757586e-05,-0.00018062966410065673
0.021920584507173258,3.6647095839715216e-05,-1.3865206710757407e-05,-0.00018062966410065437
0.022956319242369096,3.6647095839714715e-05,-1.3865206710757217e-05,-0.0001806296641006519
0.02404099183509972,3.664709583971419e-05,-1.3865206710757019e-05,-0.00018062966410064933
0.02517691457037277,3.6647095839713644e-05,-1.386520671075681e-05,-0.00018062966410064662
0.026366508987303583,3.664709583971307e-05,-1.3865206710756593e-05,-0.0001806296641006438
0.02761231104130753,3.6647095839712465e-05,-1.3865206710756365e-05,-0.00018062966410064082
0.028916976510202995,3.6647095839711835e-05,-1.3865206710756127e-05,-0.0001806296641006377
0.030283286655749458,3.664709583971118e-05,-1.3865206710755877e-05,-0.00018062966410063445
0.03171415415268999,3.6647095839710486e-05,-1.3865206710755616e-05,-0.00018062966410063106
0.03321262929793748,3.664709583970976e-05,-1.3865206710755341e-05,-0.00018062966410062748
0.0347819065131413,3.6647095839709e-05,-1.3865206710755055e-05,-0.00018062966410062374
0.03642533115449638,3.664709583970821e-05,-1.3865206710754755e-05,-0.00018062966410061984
0.03814640664431178,3.6647095839707376e-05,-1.386520671075444e-05,-0.00018062966410061572
0.0399488019395417,3.664709583970651e-05,-1.386520671075411e-05,-0.00018062966410061144
0.041836359353200195,3.6647095839705594e-05,-1.3865206710753766e-05,-0.00018062966410060694
0.04381310274533306,3.664709583970464e-05,-1.3865206710753403e-05,-0.00018062966410060225
0.04588324610100845,3.664709583970364e-05,-1.3865206710753027e-05,-0.00018062966410059732
0.04805120251361242,3.664709583970259e-05,-1.386520671075263e-05,-0.00018062966410059214
0.05032159359259993,3.6647095839701494e-05,-1.3865206710752214e-05,-0.00018062966410058675
0.052699259315756565,3.664709583970035e-05,-1.386520671075178e-05,-0.00018062966410058108
0.0551892683469738,3.664709583969914e-05,-1.3865206710751325e-05,-0.00018062966410057514
0.05779692884153313,3.664709583969788e-05,-1.3865206710750849e-05,-0.00018062966410056894
0.06052779976193349,3.664709583969657e-05,-1.3865206710750349e-05,-0.00018062966410056246
0.06338770272838487,3.6647095839695185e-05,-1.3865206710749826e-05,-0.00018062966410055563
0.06638273442923082,3.6647095839693735e-05,-1.3865206710749278e-05,-0.0001806296641005485
0.06951927961775606,3.664709583969222e-05,-1.3865206710748706e-05,-0.00018062966410054102
0.0728040247230857,3.664709583969063e-05,-1.3865206710748106e-05,-0.0001806296641005332
0.07624397210419138,3.664709583968897e-05,-1.3865206710747476e-05,-0.000180629664100525
0.07984645497739086,3.664709583968723e-05,-1.3865206710746819e-05,-0.00018062966410051644
0.08361915304916318,3.664709583968541e-05,-1.3865206710746129e-05,-0.00018062966410050746
0.08757010888760508,3.6647095839683496e-05,-1.3865206710745406e-05,-0.00018062966410049803
0.0917077450674293,3.66470958396815e-05,-1.386520671074465e-05,-0.0001806296641004882
0.0960408821250538,3.6647095839679403e-05,-1.3865206710743857e-05,-0.00018062966410047786
0.10057875736205836,3.6647095839677215e-05,-1.3865206710743029e-05,-0.00018062966410046708
0.1053310445370937,3.664709583967492e-05,-1.3865206710742158e-05,-0.00018062966410045575
0.1103078744882215,3.664709583967251e-05,-1.3865206710741249e-05,-0.0001806296641004439
0.11551985672964793,3.664709583966999e-05,-1.3865206710740296e-05,-0.0001806296641004315
0.12097810206889013,3.6647095839667355e-05,-1.3865206710739299e-05,-0.00018062966410041848
0.12669424629259063,3.66470958396646e-05,-1.3865206710738253e-05,-0.00018062966410040487
0.13268047497147245,3.6647095839661704e-05,-1.386520671073716e-05,-0.00018062966410039064
0.13894954943731375,3.6647095839658675e-05,-1.3865206710736014e-05,-0.00018062966410037568
0.14551483398731938,3.6647095839655504e-05,-1.3865206710734814e-05,-0.00018062966410036007
0.1523903243738829,3.664709583965218e-05,-1.3865206710733557e-05,-0.0001806296641003437
0.1595906776404731,3.66470958396487e-05,-1.3865206710732241e-05,-0.00018062966410032654
0.16713124336724874,3.664709583964506e-05,-1.3865206710730864e-05,-0.0001806296641003086
