cycle,T_K,I_on_A,I_off_A,Rwin_Ion_over_Ioff,tau_s,retention_drop_frac_at_tobs
2.000000000000000000e+00,3.000000000000000000e+02,2.982906029287644804e-03,1.245803640453087670e-04,2.394362909553538188e+01,3.000000000000000000e+06,4.575725881790104754e-02
2.000000000000000000e+00,3.250000000000000000e+02,3.255669711226240760e-03,1.359722746387390969e-04,2.394362909553537833e+01,7.863364131961344974e+05,1.446954299318927717e-01
2.000000000000000000e+00,3.500000000000000000e+02,3.553375521899098700e-03,1.484058873331643019e-04,2.394362909553538188e+01,2.495564427446389454e+05,3.553736843032748727e-01
2.000000000000000000e+00,3.750000000000000000e+02,3.878304226037707601e-03,1.619764577275744125e-04,2.394362909553538188e+01,9.229704549441397830e+04,6.586367856808932331e-01
3.000000000000000000e+00,2.500000000000000000e+02,2.496877272467343169e-03,1.055867159640921596e-04,2.364764591519712766e+01,9.751124699375864863e+07,2.038954951701144047e-03
3.000000000000000000e+00,2.750000000000000000e+02,2.725197384297897707e-03,1.152418043669434981e-04,2.364764591519712411e+01,1.460036572372009978e+07,1.121054822539313545e-02
3.000000000000000000e+00,3.000000000000000000e+02,2.974395604172106345e-03,1.257797759167484579e-04,2.364764591519712411e+01,3.000000000000000000e+06,4.575725881790104754e-02
3.000000000000000000e+00,3.250000000000000000e+02,3.246381073566765533e-03,1.372813634477029797e-04,2.364764591519712766e+01,7.863364131961344974e+05,1.446954299318927717e-01
3.000000000000000000e+00,3.500000000000000000e+02,3.543237510178450563e-03,1.498346821871767863e-04,2.364764591519712411e+01,2.495564427446389454e+05,3.553736843032748727e-01
3.000000000000000000e+00,3.750000000000000000e+02,3.867239171568374271e-03,1.635359048184622328e-04,2.364764591519712411e+01,9.229704549441397830e+04,6.586367856808932331e-01
4.000000000000000000e+00,2.500000000000000000e+02,2.489753519039851395e-03,1.063676931557956668e-04,2.340704630486942150e+01,9.751124699375864863e+07,2.038954951701144047e-03
4.000000000000000000e+00,2.750000000000000000e+02,2.717422218725662735e-03,1.160941958815346696e-04,2.340704630486942150e+01,1.460036572372009978e+07,1.121054822539313545e-02
4.000000000000000000e+00,3.000000000000000000e+02,2.965909459853527733e-03,1.267101120416257989e-04,2.340704630486942150e+01,3.000000000000000000e+06,4.575725881790104754e-02
4.000000000000000000e+00,3.250000000000000000e+02,3.237118936995306197e-03,1.382967716145321892e-04,2.340704630486942150e+01,7.863364131961344974e+05,1.446954299318927717e-01
4.000000000000000000e+00,3.500000000000000000e+02,3.533128422865317378e-03,1.509429415761147310e-04,2.340704630486942150e+01,2.495564427446389454e+05,3.553736843032748727e-01
4.000000000000000000e+00,3.750000000000000000e+02,3.856205686419876804e-03,1.647455059555148120e-04,2.340704630486942506e+01,9.229704549441397830e+04,6.586367856808932331e-01
5.000000000000000000e+00,2.500000000000000000e+02,2.482650090144708846e-03,1.070057979837117927e-04,2.320108009962799400e+01,9.751124699375864863e+07,2.038954951701144047e-03
5.000000000000000000e+00,2.750000000000000000e+02,2.709669236207038791e-03,1.167906504598674309e-04,2.320108009962799045e+01,1.460036572372009978e+07,1.121054822539313545e-02
